article_slug,article_title,product_slug,product_name,merchant,affiliate_code,fallback_url,target_asset,image_mode,brief_filename,brief_alt_text,brief_dimensions,brief_prompt
protein-na-chudnutie,"Proteín na chudnutie – ako vyberať a dávkovať",aktin-whey-isolate-cut,"Whey Isolate / nízkokalorický WPI",Aktin,protein-na-chudnutie-aktin,https://www.aktin.sk/,img/products/aktin/aktin-whey-isolate-cut/main.webp,placeholder,main.webp,"Whey Isolate / nízkokalorický WPI - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Whey Isolate / nízkokalorický WPI od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
protein-na-chudnutie,"Proteín na chudnutie – ako vyberať a dávkovať",myprotein-clear-protein-light,"Clear protein / ľahší drink",Myprotein,protein-na-chudnutie-myprotein,https://www.myprotein.sk/,img/products/myprotein/myprotein-clear-protein-light/main.webp,placeholder,main.webp,"Clear protein / ľahší drink - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Clear protein / ľahší drink od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
najlepsie-proteiny-2025,"Najlepšie proteíny 2025 – prehľad a výber podľa cieľa",aktin-whey-isolate-cut,"Whey Isolate / nízkokalorický WPI",Aktin,najlepsie-proteiny-2025-aktin,https://www.aktin.sk/,img/products/aktin/aktin-whey-isolate-cut/main.webp,placeholder,main.webp,"Whey Isolate / nízkokalorický WPI - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Whey Isolate / nízkokalorický WPI od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
najlepsie-proteiny-2025,"Najlepšie proteíny 2025 – prehľad a výber podľa cieľa",performance-isolate-blend,"Performance isolate blend",Myprotein,najlepsie-proteiny-2025-myprotein,https://www.myprotein.sk/,img/products/myprotein/performance-isolate-blend/main.webp,placeholder,main.webp,"Performance isolate blend - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Performance isolate blend od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
kreatin-porovnanie,"Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)",aktin-creatine-monohydrate,"Creatine Monohydrate / osvedčený základ",Aktin,kreatin-porovnanie-aktin,https://www.aktin.sk/,img/products/aktin/aktin-creatine-monohydrate/main.webp,placeholder,main.webp,"Creatine Monohydrate / osvedčený základ - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Creatine Monohydrate / osvedčený základ od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
kreatin-porovnanie,"Kreatín – porovnanie a výber (Creapure, monohydrát, HCl)",myprotein-creatine-hcl,"Kreatín HCl / alternatíva",Myprotein,kreatin-monohydrat-vs-hcl-myprotein,https://www.myprotein.sk/,img/products/myprotein/myprotein-creatine-hcl/main.webp,placeholder,main.webp,"Kreatín HCl / alternatíva - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Kreatín HCl / alternatíva od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
horcik-ktory-je-najlepsi-a-preco,"Horčík – ktorý je najlepší a prečo?",aktin-magnesium-bisglycinate,"Magnézium bisglycinát",Aktin,horcik-ktory-je-najlepsi-a-preco-aktin,https://www.aktin.sk/,img/products/aktin/aktin-magnesium-bisglycinate/main.webp,placeholder,main.webp,"Magnézium bisglycinát - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Magnézium bisglycinát od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
horcik-ktory-je-najlepsi-a-preco,"Horčík – ktorý je najlepší a prečo?",myprotein-magnesium-malate,"Magnézium malát",Myprotein,horcik-ktory-je-najlepsi-a-preco-myprotein,https://www.myprotein.sk/,img/products/myprotein/myprotein-magnesium-malate/main.webp,placeholder,main.webp,"Magnézium malát - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Magnézium malát od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
probiotika-ako-vybrat,"Probiotiká – ako vybrať a na čo si dať pozor",aktin-probiotics-multistrain,"Multi-strain probiotiká",Aktin,probiotika-ako-vybrat-aktin,https://www.aktin.sk/,img/products/aktin/aktin-probiotics-multistrain/main.webp,placeholder,main.webp,"Multi-strain probiotiká - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Multi-strain probiotiká od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
probiotika-ako-vybrat,"Probiotiká – ako vybrať a na čo si dať pozor",myprotein-probiotics-capsules,"Probiotiká / cestovné kapsuly",Myprotein,probiotika-ako-vybrat-myprotein,https://www.myprotein.sk/,img/products/myprotein/myprotein-probiotics-capsules/main.webp,placeholder,main.webp,"Probiotiká / cestovné kapsuly - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Probiotiká / cestovné kapsuly od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
pre-workout-ako-vybrat,"Ako vybrať pre-workout – stimulanty aj pumpa",aktin-balanced-preworkout,"Balanced stim pre-workout",Aktin,pre-workout-ako-vybrat-aktin,https://www.aktin.sk/,img/products/aktin/aktin-balanced-preworkout/main.webp,placeholder,main.webp,"Balanced stim pre-workout - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Balanced stim pre-workout od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
pre-workout-ako-vybrat,"Ako vybrať pre-workout – stimulanty aj pumpa",myprotein-non-stim-pump,"Non-stim pump formula",Myprotein,pre-workout-ako-vybrat-myprotein,https://www.myprotein.sk/,img/products/myprotein/myprotein-non-stim-pump/main.webp,placeholder,main.webp,"Non-stim pump formula - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Non-stim pump formula od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
kolagen-recenzia,"Kolagén – recenzie a výber (typ I/II/III)",kolag-en-vitam-in-c,"Kolagén + vitamín C",Aktin,kolagen-recenzia-aktin,https://www.aktin.sk/,img/products/aktin/kolag-en-vitam-in-c/main.webp,placeholder,main.webp,"Kolagén + vitamín C - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Kolagén + vitamín C od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
kolagen-recenzia,"Kolagén – recenzie a výber (typ I/II/III)",ist-y-hydrolyzovan-y-kolag-en,"Čistý hydrolyzovaný kolagén",Protein.sk,kolagen-proteinsk,https://www.protein.sk/,img/products/protein-sk/ist-y-hydrolyzovan-y-kolag-en/main.webp,placeholder,main.webp,"Čistý hydrolyzovaný kolagén - Protein.sk",1200x1200,"Realisticky ecommerce packshot produktu Čistý hydrolyzovaný kolagén od Protein.sk, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech zostane jednoduchy a funkcny, ako bezny packshot doplnku vyzivy v lokalnom eshope."
veganske-proteiny-top-vyber-2025,"Vegánske proteíny – top výber 2025",blend-hrach-ryza,"Blend hrach + ryža",Aktin,veganske-proteiny-top-vyber-2025-aktin,https://www.aktin.sk/,img/products/aktin/blend-hrach-ryza/main.webp,placeholder,main.webp,"Blend hrach + ryža - Aktin",1200x1200,"Realisticky ecommerce packshot produktu Blend hrach + ryža od Aktin, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual drz minimalisticky, s cistym bielym pozadim a prirodzenym ecommerce stylom podobnym produktom z Aktinu."
veganske-proteiny-top-vyber-2025,"Vegánske proteíny – top výber 2025",rastlinn-y-protein-mix,"Rastlinný protein mix",Myprotein,veganske-proteiny-top-vyber-2025-myprotein,https://www.myprotein.sk/,img/products/myprotein/rastlinn-y-protein-mix/main.webp,placeholder,main.webp,"Rastlinný protein mix - Myprotein",1200x1200,"Realisticky ecommerce packshot produktu Rastlinný protein mix od Myprotein, cisty obal doplnku vyzivy na svetlom neutralnom pozadi, jemny tien, produkt v strede, bez textovych overlayov, bez dekoracii, moderny health and fitness look, stvorcovy format. Vizual nech je cisty, studiovy a mierne kontrastnejsi, podobny klasickym ecommerce packshotom Myprotein."
